Solution not found :(
0 [2, 1, 6, 7, 0, 10, 8, 11, 4, 3, 9, 5]
a [0, 1, 6, 7, 2, 10, 8, 11, 4, 3, 9, 5]
b [1, 0, 6, 7, 2, 10, 8, 11, 4, 3, 9, 5]
c [1, 6, 0, 7, 2, 10, 8, 11, 4, 3, 9, 5]
d [1, 6, 7, 0, 2, 10, 8, 11, 4, 3, 9, 5]
h [1, 6, 7, 11, 2, 10, 8, 0, 4, 3, 9, 5]
l [1, 6, 7, 11, 2, 10, 8, 5, 4, 3, 9, 0]
k [1, 6, 7, 11, 2, 10, 8, 5, 4, 3, 0, 9]
g [1, 6, 7, 11, 2, 10, 0, 5, 4, 3, 8, 9]
c [1, 6, 0, 11, 2, 10, 7, 5, 4, 3, 8, 9]
d [1, 6, 11, 0, 2, 10, 7, 5, 4, 3, 8, 9]
h [1, 6, 11, 5, 2, 10, 7, 0, 4, 3, 8, 9]
l [1, 6, 11, 5, 2, 10, 7, 9, 4, 3, 8, 0]
k [1, 6, 11, 5, 2, 10, 7, 9, 4, 3, 0, 8]
g [1, 6, 11, 5, 2, 10, 0, 9, 4, 3, 7, 8]
c [1, 6, 0, 5, 2, 10, 11, 9, 4, 3, 7, 8]
d [1, 6, 5, 0, 2, 10, 11, 9, 4, 3, 7, 8]
h [1, 6, 5, 9, 2, 10, 11, 0, 4, 3, 7, 8]
l [1, 6, 5, 9, 2, 10, 11, 8, 4, 3, 7, 0]
k [1, 6, 5, 9, 2, 10, 11, 8, 4, 3, 0, 7]
g [1, 6, 5, 9, 2, 10, 0, 8, 4, 3, 11, 7]
c [1, 6, 0, 9, 2, 10, 5, 8, 4, 3, 11, 7]
d [1, 6, 9, 0, 2, 10, 5, 8, 4, 3, 11, 7]
h [1, 6, 9, 8, 2, 10, 5, 0, 4, 3, 11, 7]
l [1, 6, 9, 8, 2, 10, 5, 7, 4, 3, 11, 0]
k [1, 6, 9, 8, 2, 10, 5, 7, 4, 3, 0, 11]
g [1, 6, 9, 8, 2, 10, 0, 7, 4, 3, 5, 11]
c [1, 6, 0, 8, 2, 10, 9, 7, 4, 3, 5, 11]
d [1, 6, 8, 0, 2, 10, 9, 7, 4, 3, 5, 11]
h [1, 6, 8, 7, 2, 10, 9, 0, 4, 3, 5, 11]
l [1, 6, 8, 7, 2, 10, 9, 11, 4, 3, 5, 0]
k [1, 6, 8, 7, 2, 10, 9, 11, 4, 3, 0, 5]
h [1, 6, 8, 7, 2, 10, 9, 0, 4, 3, 11, 5]
d [1, 6, 8, 0, 2, 10, 9, 7, 4, 3, 11, 5]
g [1, 6, 8, 9, 2, 10, 0, 7, 4, 3, 11, 5]
c [1, 6, 0, 9, 2, 10, 8, 7, 4, 3, 11, 5]
d [1, 6, 9, 0, 2, 10, 8, 7, 4, 3, 11, 5]
h [1, 6, 9, 7, 2, 10, 8, 0, 4, 3, 11, 5]
l [1, 6, 9, 7, 2, 10, 8, 5, 4, 3, 11, 0]
k [1, 6, 9, 7, 2, 10, 8, 5, 4, 3, 0, 11]
g [1, 6, 9, 7, 2, 10, 0, 5, 4, 3, 8, 11]
c [1, 6, 0, 7, 2, 10, 9, 5, 4, 3, 8, 11]
d [1, 6, 7, 0, 2, 10, 9, 5, 4, 3, 8, 11]
h [1, 6, 7, 5, 2, 10, 9, 0, 4, 3, 8, 11]
l [1, 6, 7, 5, 2, 10, 9, 11, 4, 3, 8, 0]
k [1, 6, 7, 5, 2, 10, 9, 11, 4, 3, 0, 8]
g [1, 6, 7, 5, 2, 10, 0, 11, 4, 3, 9, 8]
c [1, 6, 0, 5, 2, 10, 7, 11, 4, 3, 9, 8]
d [1, 6, 5, 0, 2, 10, 7, 11, 4, 3, 9, 8]
h [1, 6, 5, 11, 2, 10, 7, 0, 4, 3, 9, 8]
l [1, 6, 5, 11, 2, 10, 7, 8, 4, 3, 9, 0]
k [1, 6, 5, 11, 2, 10, 7, 8, 4, 3, 0, 9]
g [1, 6, 5, 11, 2, 10, 0, 8, 4, 3, 7, 9]
c [1, 6, 0, 11, 2, 10, 5, 8, 4, 3, 7, 9]
d [1, 6, 11, 0, 2, 10, 5, 8, 4, 3, 7, 9]
h [1, 6, 11, 8, 2, 10, 5, 0, 4, 3, 7, 9]
l [1, 6, 11, 8, 2, 10, 5, 9, 4, 3, 7, 0]
k [1, 6, 11, 8, 2, 10, 5, 9, 4, 3, 0, 7]
g [1, 6, 11, 8, 2, 10, 0, 9, 4, 3, 5, 7]
c [1, 6, 0, 8, 2, 10, 11, 9, 4, 3, 5, 7]
d [1, 6, 8, 0, 2, 10, 11, 9, 4, 3, 5, 7]
h [1, 6, 8, 9, 2, 10, 11, 0, 4, 3, 5, 7]
l [1, 6, 8, 9, 2, 10, 11, 7, 4, 3, 5, 0]
k [1, 6, 8, 9, 2, 10, 11, 5, 4, 3, 0, 7]
g [1, 6, 8, 9, 2, 10, 0, 5, 4, 3, 11, 7]
c [1, 6, 0, 9, 2, 10, 8, 5, 4, 3, 11, 7]
d [1, 6, 9, 0, 2, 10, 8, 5, 4, 3, 11, 7]
h [1, 6, 9, 5, 2, 10, 8, 0, 4, 3, 11, 7]
l [1, 6, 9, 5, 2, 10, 8, 7, 4, 3, 11, 0]
k [1, 6, 9, 5, 2, 10, 8, 7, 4, 3, 0, 11]
g [1, 6, 9, 5, 2, 10, 0, 7, 4, 3, 8, 11]
d [1, 6, 9, 0, 2, 10, 5, 7, 4, 3, 8, 11]
c [1, 6, 0, 9, 2, 10, 5, 7, 4, 3, 8, 11]
h [1, 6, 7, 9, 2, 10, 5, 0, 4, 3, 8, 11]
d [1, 6, 7, 0, 2, 10, 5, 9, 4, 3, 8, 11]
c [1, 6, 0, 7, 2, 10, 5, 9, 4, 3, 8, 11]
g [1, 6, 5, 7, 2, 10, 0, 9, 4, 3, 8, 11]
d [1, 6, 5, 0, 2, 10, 7, 9, 4, 3, 8, 11]
h [1, 6, 5, 9, 2, 10, 7, 0, 4, 3, 8, 11]
l [1, 6, 5, 9, 2, 10, 7, 11, 4, 3, 8, 0]
k [1, 6, 5, 9, 2, 10, 7, 11, 4, 3, 0, 8]
h [1, 6, 5, 9, 2, 10, 7, 0, 4, 3, 11, 8]
d [1, 6, 5, 0, 2, 10, 7, 9, 4, 3, 11, 8]
g [1, 6, 5, 7, 2, 10, 0, 9, 4, 3, 11, 8]
c [1, 6, 0, 7, 2, 10, 5, 9, 4, 3, 11, 8]
d [1, 6, 7, 0, 2, 10, 5, 9, 4, 3, 11, 8]
h [1, 6, 7, 9, 2, 10, 5, 0, 4, 3, 11, 8]
l [1, 6, 7, 9, 2, 10, 5, 8, 4, 3, 11, 0]
g [1, 6, 7, 9, 2, 10, 0, 8, 4, 3, 11, 5]
c [1, 6, 0, 9, 2, 10, 7, 8, 4, 3, 11, 5]
d [1, 6, 9, 0, 2, 10, 7, 8, 4, 3, 11, 5]
h [1, 6, 9, 8, 2, 10, 7, 0, 4, 3, 11, 5]
l [1, 6, 9, 8, 2, 10, 7, 5, 4, 3, 11, 0]
k [1, 6, 9, 8, 2, 10, 7, 5, 4, 3, 0, 11]
g [1, 6, 9, 8, 2, 10, 0, 5, 4, 3, 7, 11]
c [1, 6, 0, 8, 2, 10, 9, 5, 4, 3, 7, 11]
d [1, 6, 8, 0, 2, 10, 9, 5, 4, 3, 7, 11]
h [1, 6, 8, 5, 2, 10, 9, 0, 4, 3, 7, 11]
l [1, 6, 8, 5, 2, 10, 9, 11, 4, 3, 7, 0]
k [1, 6, 8, 5, 2, 10, 9, 11, 4, 3, 0, 7]
g [1, 6, 8, 5, 2, 10, 0, 11, 4, 3, 9, 7]
c [1, 6, 0, 5, 2, 10, 8, 11, 4, 3, 9, 7]
d [1, 6, 5, 0, 2, 10, 8, 11, 4, 3, 9, 7]
h [1, 6, 5, 11, 2, 10, 8, 0, 4, 3, 9, 7]
l [1, 6, 5, 11, 2, 10, 8, 7, 4, 3, 9, 0]
k [1, 6, 5, 11, 2, 10, 8, 7, 4, 3, 0, 9]
g [1, 6, 5, 11, 2, 10, 0, 7, 4, 3, 8, 9]
c [1, 6, 0, 11, 2, 10, 5, 7, 4, 3, 8, 9]
d [1, 6, 11, 0, 2, 10, 5, 7, 4, 3, 8, 9]
h [1, 6, 11, 7, 2, 10, 5, 0, 4, 3, 8, 9]
l [1, 6, 11, 7, 2, 10, 5, 9, 4, 3, 8, 0]
k [1, 6, 11, 7, 2, 10, 5, 9, 4, 3, 0, 8]
g [1, 6, 11, 7, 2, 10, 0, 9, 4, 3, 5, 8]
c [1, 6, 0, 7, 2, 10, 11, 9, 4, 3, 5, 8]
d [1, 6, 7, 0, 2, 10, 11, 9, 4, 3, 5, 8]
h [1, 6, 7, 9, 2, 10, 11, 0, 4, 3, 5, 8]
l [1, 6, 7, 9, 2, 10, 11, 8, 4, 3, 5, 0]
g [1, 6, 7, 9, 2, 10, 0, 8, 4, 3, 5, 11]
c [1, 6, 0, 9, 2, 10, 7, 8, 4, 3, 5, 11]
d [1, 6, 9, 0, 2, 10, 7, 8, 4, 3, 5, 11]
g [1, 6, 9, 7, 2, 10, 0, 8, 4, 3, 5, 11]
l [1, 6, 9, 7, 2, 10, 11, 8, 4, 3, 5, 0]
k [1, 6, 9, 7, 2, 10, 11, 8, 4, 3, 0, 5]
h [1, 6, 9, 7, 2, 10, 11, 0, 4, 3, 8, 5]
d [1, 6, 9, 0, 2, 10, 11, 7, 4, 3, 8, 5]
g [1, 6, 9, 11, 2, 10, 0, 7, 4, 3, 8, 5]
c [1, 6, 0, 11, 2, 10, 9, 7, 4, 3, 8, 5]
d [1, 6, 11, 0, 2, 10, 9, 7, 4, 3, 8, 5]
h [1, 6, 11, 7, 2, 10, 9, 0, 4, 3, 8, 5]
l [1, 6, 11, 7, 2, 10, 9, 5, 4, 3, 8, 0]
k [1, 6, 11, 7, 2, 10, 9, 5, 4, 3, 0, 8]
g [1, 6, 11, 7, 2, 10, 0, 5, 4, 3, 9, 8]
c [1, 6, 0, 7, 2, 10, 11, 5, 4, 3, 9, 8]
d [1, 6, 7, 0, 2, 10, 11, 5, 4, 3, 9, 8]
h [1, 6, 5, 7, 2, 10, 11, 0, 4, 3, 9, 8]
d [1, 6, 5, 0, 2, 10, 11, 7, 4, 3, 9, 8]
c [1, 6, 0, 5, 2, 10, 11, 7, 4, 3, 9, 8]
g [1, 6, 11, 5, 2, 10, 0, 7, 4, 3, 9, 8]
